"","Position","Track.Name","Artist","Streams","URL","Date","Region","Danceability","Duration","Instrumentalness","Speechiness","Tempo"
"3044098",55,"Stronger","Kanye West",81052,"6C7RJEIUDqKkJRZVWdkfkH","2017-01-09","gb",NA,NA,NA,NA,NA
"3044099",56,"Treat You Better","Shawn Mendes",78909,"4Hf7WnR761jpxPr5D46Bcd","2017-01-09","gb",NA,NA,NA,NA,NA
"3044100",57,"Oh Lord","MiC LOWRY",77631,"1sTUEdVO85YU8Ymk2jeAls","2017-01-09","gb",NA,NA,NA,NA,NA
"3044101",58,"Don't","Ed Sheeran",75956,"6gTJaPuj8DT8RjuDJyBgzP","2017-01-09","gb",NA,NA,NA,NA,NA
"3044102",59,"I See Fire","Ed Sheeran",75895,"3B7udSGy2PfgoCniMSb523","2017-01-09","gb",NA,NA,NA,NA,NA
"3044103",60,"Controlla","Drake",75819,"6F609ICg9Spjrw1epsAnpa","2017-01-09","gb",NA,NA,NA,NA,NA
"3044104",61,"Heathens","Twenty One Pilots",75344,"6i0V12jOa3mr6uu4WYhUBr","2017-01-09","gb",NA,NA,NA,NA,NA
"3044105",62,"Blow Your Mind (Mwah)","Dua Lipa",74596,"2eAAEa8pxKF7My0EO4rFgR","2017-01-09","gb",NA,NA,NA,NA,NA
"3044106",63,"Lush Life","Zara Larsson",72948,"1rIKgCH4H52lrvDcz50hS8","2017-01-09","gb",NA,NA,NA,NA,NA
"3044107",64,"Don't Leave","Snakehips",72353,"0Zx8khUcEfCFK2AEoIhC92","2017-01-09","gb",NA,NA,NA,NA,NA
"3044108",65,"Rooting For You","London Grammar",72136,"2nAAFnHiXRdWhsqoeqhhnr","2017-01-09","gb",NA,NA,NA,NA,NA
"3044109",66,"Redbone","Childish Gambino",71821,"3kxfsdsCpFgN412fpnW85Y","2017-01-09","gb",NA,NA,NA,NA,NA
"3044110",67,"Tenerife Sea","Ed Sheeran",71789,"6vSwxzO2Qf4BinHSXRwZJe","2017-01-09","gb",NA,NA,NA,NA,NA
"3044111",68,"Too Good","Drake",71733,"11KJSRSgaDxqydKYiD2Jew","2017-01-09","gb",NA,NA,NA,NA,NA
"3044112",69,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",69601,"6JV2JOEocMgcZxYSZelKcc","2017-01-09","gb",NA,NA,NA,NA,NA
"3044113",70,"Give Me Love","Ed Sheeran",68741,"0SuG9kyzGRpDqrCWtgD6Lq","2017-01-09","gb",NA,NA,NA,NA,NA
"3044114",71,"Pompeii","Bastille",68579,"3gbBpTdY8lnQwqxNCcf795","2017-01-09","gb",NA,NA,NA,NA,NA
"3044115",72,"Trust Nobody (feat. Selena Gomez & Tory Lanez)","Cashmere Cat",67223,"2wDjpPW3HZdA9quPPmZAMu","2017-01-09","gb",NA,NA,NA,NA,NA
"3044116",73,"Mr. Brightside","The Killers",67091,"7oK9VyNzrYvRFo7nQEYkWN","2017-01-09","gb",NA,NA,NA,NA,NA
"3044117",74,"You Need Me, I Don't Need You","Ed Sheeran",66965,"5KL4iZkCTZyXl7KnHgfVDj","2017-01-09","gb",NA,NA,NA,NA,NA
"3044118",75,"Should've Been Me","Naughty Boy",66952,"4aiLpwwZw5Ek9KkBMnt6Zu","2017-01-09","gb",NA,NA,NA,NA,NA
